Year,Average Closing Price,Year Open,Year High,Year Low,Year Close,Annual % Change
2022,$7.10 ,$5.89 ,$8.16 ,$5.88 ,$7.81 ,31.69%
2021,$5.75 ,$4.84 ,$7.32 ,$4.84 ,$5.93 ,22.57%
2020,$3.64 ,$3.92 ,$4.84 ,$3.06 ,$4.84 ,24.82%
2019,$3.85 ,$3.76 ,$4.55 ,$3.47 ,$3.88 ,3.40%
2018,$3.70 ,$3.53 ,$4.09 ,$3.40 ,$3.75 ,6.91%
2017,$3.62 ,$3.56 ,$4.02 ,$3.37 ,$3.51 ,-0.36%
2016,$3.60 ,$3.52 ,$4.38 ,$3.11 ,$3.52 ,-1.88%
2015,$3.78 ,$3.96 ,$4.41 ,$3.48 ,$3.59 ,-9.63%
2014,$4.16 ,$4.21 ,$5.19 ,$3.21 ,$3.97 ,-5.92%
2013,$5.69 ,$6.91 ,$7.41 ,$4.12 ,$4.22 ,-39.56%
2012,$6.92 ,$6.59 ,$8.31 ,$5.52 ,$6.98 ,8.00%
2011,$6.80 ,$6.21 ,$7.87 ,$5.79 ,$6.47 ,2.78%
2010,$4.31 ,$4.19 ,$6.29 ,$3.30 ,$6.29 ,51.75%
2009,$3.75 ,$4.12 ,$4.50 ,$3.06 ,$4.15 ,1.84%
2008,$5.30 ,$4.63 ,$7.63 ,$3.09 ,$4.07 ,-10.65%
2007,$3.76 ,$3.90 ,$4.56 ,$3.10 ,$4.56 ,16.72%
2006,$2.63 ,$2.20 ,$3.90 ,$2.05 ,$3.90 ,80.88%
2005,$2.11 ,$2.02 ,$2.60 ,$1.91 ,$2.16 ,5.37%
2004,$2.54 ,$2.53 ,$3.31 ,$1.97 ,$2.05 ,-16.77%
2003,$2.33 ,$2.37 ,$2.56 ,$2.06 ,$2.46 ,4.35%
2002,$2.29 ,$2.09 ,$2.93 ,$1.96 ,$2.36 ,12.80%
2001,$2.11 ,$2.27 ,$2.34 ,$1.85 ,$2.09 ,-9.82%
2000,$2.12 ,$2.01 ,$2.51 ,$1.75 ,$2.32 ,13.33%
1999,$2.12 ,$2.15 ,$2.32 ,$1.86 ,$2.05 ,-4.22%
1998,$2.38 ,$2.63 ,$2.82 ,$1.97 ,$2.14 ,-19.43%
1997,$2.75 ,$2.59 ,$3.13 ,$2.29 ,$2.65 ,2.61%
1996,$3.67 ,$3.73 ,$5.05 ,$2.58 ,$2.58 ,-30.06%
1995,$2.81 ,$2.29 ,$3.69 ,$2.29 ,$3.69 ,59.85%
1994,$2.50 ,$3.07 ,$3.10 ,$2.12 ,$2.31 ,-24.51%
1993,$2.39 ,$2.16 ,$3.06 ,$2.12 ,$3.06 ,41.34%
1992,$2.39 ,$2.51 ,$2.79 ,$2.05 ,$2.17 ,-13.92%
1991,$2.47 ,$2.32 ,$2.63 ,$2.20 ,$2.52 ,8.52%
1990,$2.52 ,$2.38 ,$2.92 ,$2.19 ,$2.32 ,-3.34%
1989,$2.54 ,$2.81 ,$2.90 ,$2.17 ,$2.40 ,-15.73%
1988,$2.55 ,$1.88 ,$3.54 ,$1.88 ,$2.85 ,53.99%
1987,$1.73 ,$1.57 ,$2.02 ,$1.43 ,$1.85 ,15.47%
1986,$2.01 ,$2.48 ,$2.49 ,$1.55 ,$1.60 ,-35.55%
1985,$2.54 ,$2.71 ,$2.86 ,$2.15 ,$2.48 ,-7.80%
1984,$3.14 ,$3.30 ,$3.62 ,$2.65 ,$2.69 ,-20.16%
1983,$3.18 ,$2.44 ,$3.69 ,$2.43 ,$3.37 ,37.79%
1982,$2.55 ,$2.72 ,$2.84 ,$2.14 ,$2.45 ,-9.52%
1981,$3.29 ,$3.82 ,$3.82 ,$2.63 ,$2.71 ,-28.44%
1980,$3.15 ,$2.87 ,$4.06 ,$2.58 ,$3.78 ,30.68%
1979,$2.69 ,$2.32 ,$3.19 ,$2.28 ,$2.89 ,24.81%
1978,$2.37 ,$2.23 ,$2.70 ,$2.14 ,$2.32 ,3.58%
1977,$2.30 ,$2.55 ,$2.65 ,$1.81 ,$2.24 ,-12.77%
1976,$2.73 ,$2.62 ,$3.09 ,$2.32 ,$2.57 ,-1.91%
1975,$2.89 ,$3.47 ,$3.51 ,$2.49 ,$2.62 ,-23.48%
1974,$3.21 ,$2.74 ,$3.95 ,$2.52 ,$3.42 ,27.16%
1973,$2.17 ,$1.52 ,$3.48 ,$1.51 ,$2.69 ,73.67%
1972,$1.30 ,$1.22 ,$1.63 ,$1.19 ,$1.55 ,25.43%
1971,$1.37 ,$1.57 ,$1.60 ,$1.13 ,$1.23 ,-20.66%
1970,$1.37 ,$1.20 ,$1.57 ,$1.20 ,$1.56 ,28.37%
1969,$1.21 ,$1.17 ,$1.31 ,$1.15 ,$1.21 ,2.76%
1968,$1.14 ,$1.18 ,$1.23 ,$1.01 ,$1.18 ,-0.36%
1967,$1.28 ,$1.42 ,$1.44 ,$1.12 ,$1.18 ,-16.69%
1966,$1.34 ,$1.26 ,$1.51 ,$1.24 ,$1.42 ,13.87%
1965,$1.25 ,$1.26 ,$1.35 ,$1.14 ,$1.25 ,-1.27%
1964,$1.22 ,$1.19 ,$1.27 ,$1.17 ,$1.26 ,5.16%
1963,$1.19 ,$1.13 ,$1.27 ,$1.12 ,$1.20 ,6.66%
1962,$1.10 ,$1.11 ,$1.17 ,$1.04 ,$1.13 ,1.81%
1961,$1.13 ,$1.10 ,$1.19 ,$1.08 ,$1.11 ,1.19%
1960,$1.14 ,$1.14 ,$1.22 ,$1.01 ,$1.09 ,-3.87%
