Year,Country,Total_Cropland,Area_Harvested,Production,Yield
1961,United States of America,157736800,23323008,91388000,39184
1962,United States of America,157736800,22551008,91604000,40621
1963,United States of America,157736800,23968000,102093008,42596
1964,United States of America,157736800,22407008,88504000,39498
1965,United States of America,157736800,22416032,104216928,46492
1966,United States of America,157736800,23067568,105861408,45892
1967,United States of America,157736800,24561648,123458304,50265
1968,United States of America,157736800,22653984,113022816,49891
1969,United States of America,157736800,22085008,119055936,53908
1970,United States of America,157736800,23211632,105471120,45439
1971,United States of America,157736800,25949296,143420656,55270
1972,United States of America,157736800,23274368,141733312,60897
1973,United States of America,157736800,25148032,144041760,57278
1974,United States of America,157736800,26468096,119420320,45119
1975,United States of America,157736800,27366480,148361072,54213
1976,United States of America,157736800,28937056,159751184,55206
1977,United States of America,157736800,28980752,165234544,57015
1978,United States of America,157736800,29109344,184613008,63421
1979,United States of America,157736800,29298800,201383008,68734
1980,United States of America,157736800,29525904,168647008,57118
1981,United States of America,157736800,30158400,206222000,68380
1982,United States of America,157736800,29427904,209180000,71082
1983,United States of America,157736800,20834000,106030000,50893
1984,United States of America,157736800,29095008,194880000,66981
1985,United States of America,157736800,30436000,225453008,74074
1986,United States of America,157736800,27885008,208943008,74930
1987,United States of America,157736800,24080000,181142000,75225
1988,United States of America,157736800,23573008,125194000,53109
1989,United States of America,157736800,26216000,191319008,72978
1990,United States of America,157736800,27094800,201532000,74380
1991,United States of America,157736800,27851580,189867780,68171
1992,United States of America,157736800,29168840,240719220,82526
1993,United States of America,157736800,25468360,160985760,63210
1994,United States of America,157736800,29345690,255294970,86996
1995,United States of America,157736800,26389830,187969950,71228
1996,United States of America,157736800,29398300,234517750,79773
1997,United States of America,157736800,29409230,233864300,79521
1998,United States of America,157736800,29376040,247882020,84382
1999,United States of America,157736800,28525380,239548580,83977
2000,United States of America,157736800,29315740,251853900,85911
2001,United States of America,157736800,27829720,241376650,86733
2002,United States of America,157736800,28057160,227766880,81180
2003,United States of America,157736800,28710330,256229020,89246
2004,United States of America,157736800,29797730,299875570,100637
2005,United States of America,157736800,30399100,282262550,92852
2006,United States of America,157736800,28586490,267502850,93577
2007,United States of America,157736800,35013780,331177280,94585
2008,United States of America,157736800,31796490,305911450,96209
2009,United States of America,157736800,32168810,331921050,103181
2010,United States of America,157736800,32960380,315617920,95757
2011,United States of America,157736800,33944990,312788890,92146
2012,United States of America,157736800,35355740,273192400,77270
2013,United States of America,157736800,35390550,351271870,99256
2014,United States of America,157736800,33644310,361091140,107326
2015,United States of America,157736800,32678310,345486340,105723
2016,United States of America,157736800,35106050,412262180,117433
2017,United States of America,157736800,33481220,371096030,110837
2018,United States of America,157736800,32891580,364262150,110746
2019,United States of America,157736800,32916270,345962110,105104
2020,United States of America,157736800,33373570,360251560,107945
1961,Brazil,80976000,6885740,9036237,13123
1962,Brazil,80976000,7347881,9587285,13048
1963,Brazil,80976000,7957633,10418267,13092
1964,Brazil,80976000,8105894,9408043,11606
1965,Brazil,80976000,8771318,12111921,13809
1966,Brazil,80976000,8703169,11371455,13066
1967,Brazil,80976000,9274321,12824380,13828
1968,Brazil,80976000,9584386,12813638,13369
1969,Brazil,80976000,9653757,12693435,13149
1970,Brazil,80976000,9858108,14216009,14421
1971,Brazil,80976000,10550489,14129749,13393
1972,Brazil,80976000,10538943,14891444,14130
1973,Brazil,80976000,9923570,14185877,14295
1974,Brazil,80976000,10672450,16273227,15248
1975,Brazil,80976000,10854687,16334516,15048
1976,Brazil,80976000,11117570,17751072,15967
1977,Brazil,80976000,11797411,19255936,16322
1978,Brazil,80976000,11124827,13569401,12197
1979,Brazil,80976000,11318885,16306380,14406
1980,Brazil,80976000,11451293,20372080,17790
1981,Brazil,80976000,11520336,21116912,18330
1982,Brazil,80976000,12619531,21842480,17308
1983,Brazil,80976000,10705979,18731216,17496
1984,Brazil,80976000,12018446,21164144,17610
1985,Brazil,80976000,11798349,22018176,18662
1986,Brazil,80976000,12460130,20541230,16486
1987,Brazil,80976000,13499440,26786650,19843
1988,Brazil,80976000,13181990,24749550,18775
1989,Brazil,80976000,12918980,26589870,20582
1990,Brazil,80976000,11394300,21347770,18735
1991,Brazil,80976000,13063700,23624340,18084
1992,Brazil,80976000,13363609,30506127,22828
1993,Brazil,80976000,11869663,30055633,25321
1994,Brazil,80976000,13748813,32487625,23629
1995,Brazil,80976000,13946320,36266951,26005
1996,Brazil,80976000,11975811,29652791,24761
1997,Brazil,80976000,12562130,32948044,26228
1998,Brazil,80976000,10585498,29601753,27964
1999,Brazil,80976000,11611483,32239479,27765
2000,Brazil,80976000,11890376,32321000,27182
2001,Brazil,80976000,12335175,41962475,34019
2002,Brazil,80976000,11760965,35940832,30559
2003,Brazil,80976000,12965678,48327323,37273
2004,Brazil,80976000,12410677,41787558,33671
2005,Brazil,80976000,11549425,35113312,30403
2006,Brazil,80976000,12613094,42661677,33823
2007,Brazil,80976000,13767400,52112217,37852
2008,Brazil,80976000,14444582,58933347,40800
2009,Brazil,80976000,13654715,50719822,37145
2010,Brazil,80976000,12678875,55364271,43667
2011,Brazil,80976000,13218892,55660235,42107
2012,Brazil,80976000,14198496,71072810,50057
2013,Brazil,80976000,15279652,80273172,52536
2014,Brazil,80976000,15432909,79881614,51761
2015,Brazil,80976000,15407143,85283074,55353
2016,Brazil,80976000,14970502,64188314,42877
2017,Brazil,80976000,17427206,97910658,56183
2018,Brazil,80976000,16126368,82366531,51076
2019,Brazil,80976000,17515920,101126409,57734
2020,Brazil,80976000,18253766,103963620,56955
1961,Argentina,39200000,2744400,4850000,17672
1962,Argentina,39200000,2756670,5220000,18936
1963,Argentina,39200000,2645400,4360000,16481
1964,Argentina,39200000,2970500,5350000,18010
